ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ARG,Argentina,0.16131881071533705,0.2301805938169575,0.3587291295185605,0.22832909245122981,0.17499101688825008,0.15291310399681846,0.13342640606302353,0.10303154444899632,0.09367968909797506,0.08716160787530762,0.07154547580079494,0.05791077860903297,0.06539833531510106,0.06065088757396449,0.06311522872032427,0.06228172293364377,0.06277244986922405,0.05940594059405942,0.0800354400472534,0.0992298578199052,0.10147755784778364,0.079502746458514,0.06401636948260742,0.06763848396501457,0.07438739789964993,0.06826838558452974
AUS,Australia,0.0019134530468060053,0.002295684113865932,0.0035662181877127563,0.004580152671755725,0.0014372978799856268,0.0005965400676078746,0.0021938571998404467,0.0024580090126997134,0.0012272448353446513,0.0008203445447087774,0.001402852466682254,0.0027708506511499027,0.0032699167657550534,0.007100591715976329,0.005211349160393747,0.004656577415599533,0.00029061319383900074,0.004076878276062901,0.007678676904902541,0.005924170616113743,0.008084750487872872,0.008383925990170567,0.008184741303712367,0.008454810495626823,0.008459743290548424,0.008496923527688249
BRA,Brazil,0.39299381807477185,0.39577594123048665,0.4329713081536716,0.43511450381679384,0.4344232842256558,0.4529727580035793,0.40466693258875147,0.3777140516181892,0.3411740642258131,0.3092698933552092,0.32078559738134205,0.3518980326960377,0.33620689655172414,0.29526627218934903,0.26375217139548346,0.28725261932479623,0.32955536181342626,0.3421665695981364,0.34908446544595395,0.34063981042654023,0.1692221912461667,0.36050881757733444,0.31072785735165154,0.3008746355685132,0.2911318553092182,0.2859654263111632
CAN,Canada,0.005593170444509862,0.005203550658096113,0.00518722645485492,0.00542832909245123,0.007006827164929932,0.006760787432889244,0.006781013163143199,0.006554690700532569,0.005931683370832482,0.0036915504511894994,0.005845218611176057,0.0033250207813798837,0.006837098692033293,0.011834319526627217,0.006079907353792704,0.005820721769499417,0.00029061319383900074,0.002038439138031452,0.0035440047253396337,0.0020734597156398093,0.004460551993309171,0.004625614339404452,0.004384682841274481,0.004664723032069971,0.004667444574095681,0.004687957808379724
CHN,China,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,0.9956253728375423,0.9222177901874751,0.8412535845964767,0.7772550623849458,0.7114438063986874,0.7198971241524432,0.6744250484898863,0.6236623067776457,0.42692307692307685,0.34250144759698903,0.25669383003492435,0.19412961348445218,0.16598718695398954,0.12079149438865919,0.06901658767772512,0.04516308893225536,0.0265972824515756,0.02689272142648349,0.02478134110787172,0.023045507584597433,0.021974802226779958
DEU,Germany,0.0,0.0,0.0009726049602852974,0.002714164546225615,0.0021559468199784408,0.0011930801352157492,0.0013960909453530114,0.0018435067595247853,0.000818163223563101,0.0,0.0,0.0,0.0,0.003550295857988165,0.0028951939779965257,0.004074505238649593,0.0014530659691950002,0.006115317414094351,0.00531600708800945,0.005035545023696682,0.008363534987454697,0.008673026886383349,0.008477053493130663,0.008746355685131196,0.008751458576429404,0.008789920890711981
FRA,France,0.00029437739181630896,0.0007652280379553109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004101722723543885,0.00046761748889408454,0.0,0.0,0.002662721893491124,0.00028951939779965283,0.0043655413271245615,0.0008718395815170005,0.0005824111822947007,0.0002953337271116357,0.0,0.005575689991636464,0.005782017924255564,0.005846243788365975,0.006122448979591837,0.0061260210035005815,0.006152944623498387
GBR,United Kingdom,0.001619075654989697,0.0019895928986838076,0.003404117360998541,0.0028837998303647156,0.0023356090549766445,0.0025850069596341225,0.0033905065815715996,0.0016386726751331422,0.0030681120883616292,0.002461033634126333,0.0009352349777881691,0.0005541701302299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008886255924170621,0.0,0.0011564035848511131,0.0011692487576731954,0.0014577259475218656,0.0014585764294049001,0.0014649868151186633
IDN,Indonesia,0.7527229908743007,0.7508417508417509,0.6571567514994326,0.6710771840542833,0.723499820337765,0.7701332272817658,0.8928998803350618,0.7902498975829578,0.7846185313970138,0.7508203445447088,0.7559036707972877,0.8628428927680797,0.9033888228299644,0.8357988165680472,0.7588303416328894,0.7232246798603026,0.6413833188026735,0.5739662201514271,0.5212640283520378,0.48489336492890994,0.43211597435182597,0.43625325238508234,0.3981292019877229,0.3594752186588922,0.3267211201866978,0.2962203340169938
IND,India,0.8249926405652046,0.8340985613712888,0.8876641270870481,0.9014418999151823,0.9344232842256557,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9071005917159762,0.8115228720324262,0.7182770663562281,0.6117407730310955,0.5334886429819454,0.4539279385705848,0.3954383886255924,0.43852801784220796,0.34056085573865275,0.28412744811458635,0.2303206997084548,0.1896149358226371,0.1585115733958394
ITA,Italy,0.022519870473947597,0.023262932353841446,0.02463932566056087,0.01662425784563189,0.0161696011498383,0.016305428514615233,0.016753091344236137,0.018230233510856206,0.017795050112497445,0.020098441345365058,0.03179798924479775,0.0340814630091438,0.04429250891795482,0.05059171597633135,0.04111175448755067,0.06577415599534342,0.06073815751235105,0.05503785672684917,0.04991139988186651,0.027547393364928903,0.02704209645943685,0.022838970800809478,0.022508038585209004,0.02274052478134111,0.022462077012835473,0.022560796952827422
JPN,Japan,0.008978510450397409,0.009641873278236915,0.010374452909709838,0.010856658184902458,0.011857707509881422,0.011533107973752238,0.012564818508177105,0.012904547316673494,0.011454285129883415,0.004922067268252665,0.002338087444470423,0.005264616237184815,0.007728894173602854,0.01331360946745562,0.010422698320787493,0.010768335273573924,0.007265329845975006,0.008444962143273152,0.009746012994683993,0.007997630331753554,0.01031502648452746,0.010407632263660017,0.010523238819058756,0.010495626822157435,0.010501750291715285,0.010254907705830646
KOR,"Korea, Rep.",0.009861642625846335,0.009947964493419038,0.009726049602852975,0.010347752332485157,0.011498383039885018,0.01073772121694174,0.011368169126445952,0.010651372388365422,0.008795254653303337,0.010869565217391306,0.014963759644610709,0.016625103906899415,0.01605231866825208,0.01568047337278106,0.009554140127388535,0.010768335273573924,0.0069747166521360055,0.006697728596389053,0.002362669816893089,0.0005924170616113745,0.0013939224979091164,0.0,0.0,0.0,0.0,0.0
MEX,Mexico,0.3157197527229909,0.30012243648607284,0.2919435889123034,0.31484308736217126,0.34261588214157385,0.3257108769138994,0.26685281212604706,0.319950839819746,0.3657189609327061,0.3344954881050041,0.2955342529810615,0.3341645885286783,0.3525564803804994,0.36094674556213013,0.3616097278517661,0.30616996507566935,0.2563208369659982,0.2361677344205009,0.22179562906083874,0.22896919431279616,0.2654028436018957,0.20150332466030646,0.1406021631102017,0.13498542274052477,0.13360560093348892,0.1333138001757984
RUS,Russian Federation,0.15543126287901088,0.11616161616161616,0.09320797536067435,0.09991518235793044,0.0896514552641035,0.08013521574865778,0.0590347028320702,0.040966816878328545,0.022908570259766826,0.021739130434782608,0.02314706570025719,0.025214740925464118,0.026456599286563614,0.0272189349112426,0.023161551823972205,0.02357392316647264,0.020052310374891018,0.021840419336051256,0.022740696987595982,0.02014218009478673,0.02090883746863674,0.01965886094246892,0.02016954106986261,0.019825072886297375,0.01896149358226371,0.018751831233518895
