ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ARG,Argentina,0.6156530408773678,0.7352352352352352,0.8485933503836318,0.6229253112033195,0.5282426778242678,0.42307692307692313,0.35815416885159934,0.28319502074688796,0.25089974293059125,0.2624007936507936,0.20552434456928842,0.19353348729792144,0.20118613138686128,0.19944979367262725,0.19211370930765703,0.19255514705882354,0.21187526697992312,0.2283236994219653,0.27618657937806873,0.28675344563552835,0.32752745172283226,0.1895445798588839,0.13726768829475056,0.12,0.17460835509138378,0.15803025426456388
AUS,Australia,0.18145563310069787,0.20620620620620622,0.17289002557544755,0.1338174273858921,0.10355648535564857,0.08219178082191783,0.0807551127425275,0.07105809128630705,0.06580976863753216,0.1096230158730159,0.08848314606741575,0.09653579676674362,0.11040145985401462,0.13342503438789546,0.13755158184319122,0.12270220588235292,0.11020931225971806,0.11436829066886871,0.1157937806873977,0.10758039816232771,0.13820522529344947,0.07344451571520207,0.03684382132376915,0.03627118644067796,0.05026109660574413,0.05696813646604443
BRA,Brazil,0.4107676969092722,0.40140140140140135,0.3907928388746803,0.40560165975103735,0.3478033472803348,0.3724973656480507,0.3377031987414787,0.325207468879668,0.27300771208226216,0.300595238095238,0.23876404494382025,0.21200923787528866,0.20255474452554742,0.19807427785419537,0.16872994039431455,0.23667279411764702,0.3609568560444255,0.4116432700247729,0.4034369885433715,0.36715160796324653,0.4123438091631957,0.33130211674150095,0.21617215520052166,0.18135593220338986,0.1664490861618799,0.16092693916961698
CAN,Canada,0.20837487537387836,0.22972972972972971,0.23887468030690537,0.21887966804979256,0.19717573221757326,0.172813487881981,0.16937598321971686,0.16338174273858921,0.170694087403599,0.25297619047619047,0.22752808988764045,0.21478060046189376,0.20894160583941604,0.20128381476386978,0.18065107748739107,0.16360294117647056,0.1670226398974797,0.1490503715937242,0.13788870703764317,0.12787136294027568,0.2593714502082545,0.15073765234124442,0.08738180632539941,0.09559322033898304,0.1279373368146214,0.13002896684905052
CHN,China,0.030408773678963108,0.05855855855855857,0.06342710997442455,0.0637966804979253,0.055962343096234324,0.054794520547945175,0.061877294179339265,0.06950207468879668,0.08380462724935733,0.06746031746031744,0.056647940074906394,0.07205542725173208,0.08074817518248176,0.08482347546996791,0.07106831728564877,0.05790441176470587,0.06108500640751813,0.06812551610239471,0.0752864157119476,0.0846094946401225,0.08292313517606968,0.055163566388710714,0.07760026084121291,0.07016949152542373,0.06657963446475196,0.0614740907627937
DEU,Germany,0.2627118644067796,0.25725725725725723,0.280306905370844,0.33350622406638997,0.3823221757322177,0.4062170706006323,0.36864184583114834,0.29668049792531126,0.23393316195372751,0.22420634920634921,0.17415730337078655,0.13764434180138566,0.11678832116788321,0.11783585511233383,0.0871160018340211,0.05606617647058823,0.041435284066638184,0.03963666391412056,0.037234042553191474,0.03101071975497703,0.040514956455887915,0.024374599101988456,0.016954678839256596,0.015932203389830507,0.02872062663185379,0.026392018023817188
FRA,France,0.3773678963110668,0.29929929929929927,0.2915601023017902,0.25726141078838183,0.28713389121338917,0.2845100105374079,0.29260618772941793,0.2593360995850622,0.22776349614395888,0.2857142857142857,0.27902621722846443,0.28822170900692845,0.3207116788321168,0.3282897753324163,0.3296652911508482,0.31985294117647056,0.29602733874412646,0.27208918249380676,0.2680032733224222,0.23238897396630936,0.19689511548655808,0.16164207825529187,0.15357026410172805,0.1606779661016949,0.1579634464751958,0.1535242999678146
GBR,United Kingdom,0.14506480558325022,0.10360360360360363,0.1043478260869565,0.07572614107883816,0.061192468619246876,0.07165437302423602,0.11326691137912953,0.12085062240663899,0.14138817480719792,0.21180555555555555,0.21535580524344572,0.2392609699769053,0.24817518248175183,0.2269601100412655,0.15038972948188906,0.09788602941176466,0.07432721059376335,0.06729975227085054,0.06751227495908348,0.04823889739663091,0.06285497917455508,0.06414368184733805,0.03684382132376915,0.046779661016949164,0.05156657963446476,0.04248471194077888
IDN,Indonesia,0.1709870388833499,0.17267267267267267,0.18414322250639384,0.17168049792531123,0.20292887029288706,0.2355110642781876,0.22548505506030414,0.26192946058091293,0.21850899742930593,0.13640873015873015,0.10720973782771542,0.09976905311778292,0.07572992700729925,0.07290233837689133,0.0444750114626318,0.0514705882352941,0.0499786416061512,0.03963666391412056,0.0785597381342062,0.04747320061255743,0.054903445664521,0.03207184092366902,0.02804043038800129,0.0240677966101695,0.025130548302872063,0.023173479240424844
IND,India,0.24775672981056826,0.25125125125125125,0.24296675191815856,0.2245850622406639,0.22018828451882846,0.21443624868282404,0.22548505506030414,0.2359958506224066,0.24164524421593833,0.21329365079365079,0.20271535580524347,0.21385681293302541,0.22171532846715328,0.22741861531407612,0.21045392022008252,0.19485294117647056,0.19094404100811616,0.1981833195706028,0.21194762684124385,0.15926493108728945,0.19121544869367663,0.11385503527902503,0.0723834365829801,0.05322033898305084,0.05450391644908617,0.05246218216929516
