ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BRA,Brazil,0.0,0.8249999999999997,0.0,0.0,0.269999999999996,0.5549999999999997,0.9816132858837481,0.8900000000000006,0.0,0.060000000000002274,0.0,0.8921428571428569,0.0,0.0,0.14814814814815236,0.0,0.9042224510813579,0.828000000000003,0.3093525179856158,0.5499999999999972,0.8574074074074076,0.7600000000000051,1.0,0.0
CHN,China,1.0,0.6083333333333338,0.4426377597109301,0.0,0.3400000000000034,0.518333333333338,0.7640569395017796,0.7224999999999966,0.4363425925925881,0.41200000000000614,1.0,0.7907142857142864,0.5855263157894797,0.75,0.3333333333333286,0.22307692307691696,0.7368692070030907,0.7240000000000038,0.5741007194244503,0.6375000000000028,1.0,0.586666666666666,0.6184210526315894,0.0
IDN,Indonesia,0.5165000000000006,0.6083333333333338,0.4426377597109301,0.0,1.0,0.518333333333338,0.9489916963226568,0.7224999999999966,0.5370370370370381,1.0,0.4508333333333283,0.9285714285714288,0.5855263157894797,0.75,1.0,1.0,1.0,0.9160000000000004,1.0,0.6375000000000028,1.0,0.586666666666666,0.6184210526315894,0.0
IND,India,0.5165000000000006,0.0,0.4426377597109301,0.0,0.3400000000000034,0.518333333333338,0.0,0.7224999999999966,0.4363425925925881,0.41200000000000614,0.4508333333333283,0.0,0.5855263157894797,0.75,0.3333333333333286,0.22307692307691696,0.0,0.7240000000000038,0.5741007194244503,0.6375000000000028,0.0,0.586666666666666,0.0,0.0
ITA,Italy,0.5165000000000006,0.9999999999999996,0.4426377597109301,0.0,0.3400000000000034,0.518333333333338,0.7640569395017796,0.7224999999999966,0.4363425925925881,0.41200000000000614,0.4508333333333283,1.0,0.5855263157894797,0.75,0.3333333333333286,0.22307692307691696,0.7368692070030907,0.7240000000000038,0.5741007194244503,1.0,0.7466049382716058,0.586666666666666,0.6184210526315894,0.0
KOR,"Korea, Rep.",0.5165000000000006,0.6083333333333338,0.4426377597109301,0.0,0.3400000000000034,0.518333333333338,0.7640569395017796,0.7224999999999966,1.0,0.41200000000000614,0.4508333333333283,0.7907142857142864,0.5855263157894797,0.75,0.3333333333333286,0.22307692307691696,0.7368692070030907,0.7240000000000038,1.0,0.6375000000000028,0.7466049382716058,0.586666666666666,0.6184210526315894,0.0
MEX,Mexico,0.6660000000000004,0.6083333333333338,0.32791327913279034,0.0,0.4299999999999997,1.0,1.0,1.0,0.2083333333333357,1.0,0.2049999999999983,0.8571428571428577,0.34210526315791867,1.0,0.0,0.03846153846154721,0.8558187435633364,0.8000000000000007,0.0,0.6375000000000028,0.8074074074074069,0.586666666666666,0.8552631578947398,0.0
RUS,Russian Federation,0.5165000000000006,0.6083333333333338,1.0,0.0,0.3400000000000034,0.518333333333338,0.7640569395017796,0.7224999999999966,0.4363425925925881,0.41200000000000614,1.0,0.7907142857142864,0.5855263157894797,0.75,0.3333333333333286,0.22307692307691696,0.7368692070030907,0.7240000000000038,0.5741007194244503,0.6375000000000028,0.7466049382716058,1.0,0.6184210526315894,0.0
SAU,Saudi Arabia,0.40000000000000213,0.6083333333333338,0.4426377597109301,0.0,0.0,0.518333333333338,0.7640569395017796,0.7224999999999966,0.4363425925925881,0.41200000000000614,0.4508333333333283,0.7907142857142864,0.5855263157894797,1.0,0.3333333333333286,0.22307692307691696,0.7368692070030907,0.8000000000000007,0.5741007194244503,0.6375000000000028,0.8148148148148167,0.586666666666666,0.6184210526315894,0.0
TUR,Türkiye,0.5165000000000006,0.6083333333333338,0.4426377597109301,0.0,0.0,0.0,0.8896797153024911,0.0,0.4363425925925881,0.0,0.0,0.9285714285714288,1.0,1.0,0.25925925925926663,0.03846153846154721,1.0,1.0,0.5611510791366925,1.0,0.7466049382716058,0.586666666666666,0.6184210526315894,0.0
ZAF,South Africa,0.5165000000000006,0.6083333333333338,0.4426377597109301,0.0,0.3400000000000034,0.518333333333338,0.7640569395017796,1.0,0.4363425925925881,0.0,0.5,0.9285714285714288,1.0,0.75,0.25925925925926663,0.03846153846154721,0.6611740473738408,0.0,0.5741007194244503,0.0,0.7466049382716058,0.0,0.6184210526315894,0.0

